stem,model,perturbation,level,psnr,ssim,lpips,clip_cos,dinov2L_cos
20260505_130402_976849_a473e239,teacher_15b,noise,0.03,15.415680697649599,0.5448935031890869,0.3784489035606384,0.8614378571510315,0.7515320777893066
20260505_130402_976849_a473e239,student_l1b_c,noise,0.03,15.77373607647202,0.4944506883621216,0.3996220827102661,0.8756202459335327,0.7647157311439514
20260505_144114_748299_f00ca076,teacher_15b,clean,0.0,30.38983349812849,0.9017741680145264,0.04588281363248825,0.9791040420532227,0.9076238870620728
20260505_144114_748299_f00ca076,student_l1b_c,clean,0.0,29.733860524726715,0.8727158308029175,0.07341188192367554,0.9520736336708069,0.9314404129981995
20260505_144114_748299_f00ca076,teacher_15b,exposure,0.8,31.51780469162327,0.9005557894706726,0.04946235567331314,0.9802063703536987,0.9165070652961731
20260505_144114_748299_f00ca076,student_l1b_c,exposure,0.8,27.351091109262033,0.8657426238059998,0.07605485618114471,0.9466642141342163,0.9132171869277954
20260505_144114_748299_f00ca076,teacher_15b,exposure,1.2,27.228162740683462,0.8992237448692322,0.04769740253686905,0.9773929119110107,0.9149208068847656
20260505_144114_748299_f00ca076,student_l1b_c,exposure,1.2,24.55880982235865,0.8691176176071167,0.08285391330718994,0.9595893025398254,0.938704788684845
20260505_144114_748299_f00ca076,teacher_15b,gamma,0.8,30.138712807425286,0.9018806219100952,0.046309977769851685,0.9795587062835693,0.9096871614456177
20260505_144114_748299_f00ca076,student_l1b_c,gamma,0.8,29.00148735935027,0.8717752695083618,0.074859119951725,0.9527612924575806,0.9340130090713501
20260505_144114_748299_f00ca076,teacher_15b,gamma,1.2,30.579236415903146,0.9008468389511108,0.04616233706474304,0.9778778553009033,0.9061284065246582
20260505_144114_748299_f00ca076,student_l1b_c,gamma,1.2,30.343800165135562,0.8700246214866638,0.07479405403137207,0.9508558511734009,0.9275325536727905
20260505_144114_748299_f00ca076,teacher_15b,blur,1.0,28.344904628173428,0.8474327325820923,0.2324080914258957,0.9405035972595215,0.8987586498260498
20260505_144114_748299_f00ca076,student_l1b_c,blur,1.0,25.74626703738213,0.8147926330566406,0.27532896399497986,0.8955081701278687,0.8076022267341614
20260505_144114_748299_f00ca076,teacher_15b,blur,2.0,21.57803682488309,0.7440276145935059,0.4535363018512726,0.8200249075889587,0.5540074706077576
20260505_144114_748299_f00ca076,student_l1b_c,blur,2.0,22.37579853158863,0.7260362505912781,0.4941684901714325,0.815397322177887,0.4228782057762146
20260505_144114_748299_f00ca076,teacher_15b,noise,0.01,31.768360983725955,0.87469482421875,0.08446202427148819,0.9615004658699036,0.9378819465637207
20260505_144114_748299_f00ca076,student_l1b_c,noise,0.01,28.861900248402755,0.8276774883270264,0.13224461674690247,0.9410018920898438,0.9094631671905518
20260505_144114_748299_f00ca076,teacher_15b,noise,0.03,23.028293646195635,0.6368319988250732,0.3910561203956604,0.8907233476638794,0.7100119590759277
20260505_144114_748299_f00ca076,student_l1b_c,noise,0.03,14.477112560658922,0.45615148544311523,0.5529302954673767,0.7949818968772888,0.5628591775894165
20260505_124008_796946_a473e239,teacher_15b,clean,0.0,25.98717027164669,0.7713191509246826,0.0815625935792923,0.9627040028572083,0.9321346282958984
20260505_124008_796946_a473e239,student_l1b_c,clean,0.0,21.658595332657566,0.7033075094223022,0.21051660180091858,0.9071890115737915,0.900658369064331
20260505_124008_796946_a473e239,teacher_15b,exposure,0.8,24.52026101153542,0.7697269916534424,0.08274389058351517,0.959229588508606,0.92451012134552
20260505_124008_796946_a473e239,student_l1b_c,exposure,0.8,21.152943080670283,0.6909286379814148,0.21735447645187378,0.8904119729995728,0.8988596200942993
20260505_124008_796946_a473e239,teacher_15b,exposure,1.2,26.67302930789277,0.7683796286582947,0.0852891281247139,0.9581650495529175,0.931990385055542
20260505_124008_796946_a473e239,student_l1b_c,exposure,1.2,21.061750918618944,0.7063719630241394,0.211465984582901,0.9169410467147827,0.9001139402389526
20260505_124008_796946_a473e239,teacher_15b,gamma,0.8,26.27739869221578,0.7719327807426453,0.07943764328956604,0.9646397829055786,0.9310051202774048
20260505_124008_796946_a473e239,student_l1b_c,gamma,0.8,21.44281018575693,0.7080512046813965,0.2062268704175949,0.9025864601135254,0.9010254144668579
20260505_124008_796946_a473e239,teacher_15b,gamma,1.2,25.61729342415893,0.7702364921569824,0.08405520766973495,0.9587477445602417,0.9335743188858032
20260505_124008_796946_a473e239,student_l1b_c,gamma,1.2,21.774751246924367,0.6956140398979187,0.21700769662857056,0.9049076437950134,0.9008668661117554
20260505_124008_796946_a473e239,teacher_15b,blur,1.0,25.372601224732826,0.6898922920227051,0.3017752170562744,0.9287388324737549,0.907958984375
20260505_124008_796946_a473e239,student_l1b_c,blur,1.0,22.187383595201457,0.6481106281280518,0.3763672411441803,0.8978467583656311,0.865906834602356
20260505_124008_796946_a473e239,teacher_15b,blur,2.0,16.795402407124914,0.5258535742759705,0.6153699159622192,0.82752525806427,0.7289820313453674
20260505_124008_796946_a473e239,student_l1b_c,blur,2.0,18.590925309681545,0.5316729545593262,0.635820209980011,0.826904296875,0.7465483546257019
20260505_124008_796946_a473e239,teacher_15b,noise,0.01,24.65130833273355,0.7470662593841553,0.11143898218870163,0.9189101457595825,0.8992248773574829
20260505_124008_796946_a473e239,student_l1b_c,noise,0.01,22.41875530777395,0.6864701509475708,0.22126369178295135,0.9124447703361511,0.8914743661880493
20260505_124008_796946_a473e239,teacher_15b,noise,0.03,21.04656849003252,0.5832807421684265,0.3052264153957367,0.9156730771064758,0.7764625549316406
20260505_124008_796946_a473e239,student_l1b_c,noise,0.03,22.89043685831958,0.5938573479652405,0.3285590410232544,0.8298240303993225,0.828116774559021
